n;LinearSearh;BinarySearh;MergeSort
100;2,937;2,517;17191,715
200;4,957;1,446;16764,119
300;11,176;1,15;16756,26
400;16,753;1,021;16932,516
500;20,665;1,368;16980,34
600;31,462;1,082;17300,541
700;37,055;1,141;17683,845
800;46,842;1,319;17425,596
900;56,891;1,223;17345,312
1000;70,585;1,257;17755,755
1100;93,102;1,551;17873,133
1200;105,492;1,287;18056,089
1300;130,069;1,635;18216,15
1400;158,692;1,248;18388,815
1500;176,66;1,301;18539,885
1600;178,483;1,287;18887,581
1700;194,635;1,33;18969,272
1800;226,211;1,341;19073,589
1900;239,709;1,408;19451,782
2000;264,242;1,341;19866,505
2100;316,462;2,083;20036,137
2200;335,538;1,38;20345,903
2300;353,557;1,423;20691,969
2400;384,269;1,396;21098,598
2500;422,082;1,437;21623,496
2600;519,515;1,399;22274,996
2700;565,828;1,416;22762,517
2800;562,387;1,455;23062,322
2900;603,87;2,362;23183,565
3000;667,834;1,443;23990,519
3100;690,094;1,861;24172,376
3200;726,522;1,43;25014,149
3300;721,891;1,458;25658,047
3400;770,751;1,44;25910,43
3500;821,058;1,523;26269,135
3600;876,878;1,545;26486,191
3700;966,731;1,431;27207,368
3800;1070,165;1,422;28690,631
3900;997,336;1,568;28424,536
4000;1045,706;1,492;28838,822
4100;1097,448;1,503;29195,387
4200;1143,004;1,487;29746,947
4300;1207,492;1,48;31680,901
4400;1269,137;1,492;31735,74
4500;1299,016;1,616;32069,754
4600;1363,525;1,571;33881,211
4700;1466,328;1,568;33416,726
4800;1519,182;1,953;35722,576
4900;1611,818;1,674;34665,607
5000;1631,068;1,543;37029,373
